document_id,clean_text,sentiment
doc_011,monumental piece cinema paced perfection uniquely beautiful thought provoking beyond thrilling unbelievable cinematography flawless worldbuilding backed best ensemble performance blockbuster since fellowship ring entire production game incredible technical achievement everyone set clearly aware working something special denis villeneuve love dune shine every stunning frame part adaptation wonderful improves every way get better,positive
doc_012,like first part second part visually stunning though read book twice regret say unlike david lynch version eighty de villeneuve almost deliberately destresses mystical mythical core story make impressive viewing somehow left unsatisfied de villeneuve hand story becomes one political grandstanding part book relation hidden way fremen nature mission paul mother example second part scene paul atreides becomes kwizatz haderach rather weak convincing left essence movie become bit emptied visual experience kind secular profane dune still nice also bit disappointing,neutral
doc_013,biggest problem movie one crept hollywood last decade one seems really acknowledge actor mumble line low tone turn volume full blast character yell audience feel actor powerful really reality boring wooden mention ear fall sudden explosion mumbling gone day actor given role based talent could actually talk normal clear tone like george clooney overall movie look amazing help people overlook boring crap first hour high rating review fan book fan visuals clearly go movie entertained acting zendaya dave bautista austin butler florence pugh movie pick razzie award bad acting assuming people realise empty blank look face involve acting time critic social medium reviewer took head lower back region stopped blowing average movie attempt turn classic clearly,negative
doc_014,kind movie impossible justice talking kind experience never thought would get movie prof wrong movie take aspect first movie improves upon almost every way possible already writing book greatest sequel time everything movie top notch dennis villeneauve prof master sci fi movie filmmaking general demonstration power achieve filmmaking beg watch biggest best screen find experience stick forever thought real blockbuster dead wrong cinematic experience craved gon na watch movie maybe gon na read book,positive
doc_015,perfect sequel denis part one accomplished main plot point book delivering stellar performance visuals film dream film go one best sci fi fantasy deserves laurel gifted longest time franchise singular movie captivated way story character planet dune life rent free mind would disservice seeing film imax soundscapes created soundtrack han zimmer immersive feel like part every scene movie masterpiece storytelling,positive
doc_016,got early access showing absolutely incredible see imax character acting screenplay world building storytelling score action sequence cinematography everything make cinematic masterpiece denis villeneuve provides masterclass filmmaking casting continuation perfect way great new add ons timothee chalamet believable raw real paul atriedes flawless lead zendaya rebecca ferguson javier bardem josh brolin fantastic per usual stellan skarsgard dave bautista continue evil austin butler steal show feyd rautha florence pugh christopher walken solid fresh cast overall dune part two inspiring visually stunning sci fi spectacle incredible collision myth adventure destiny galactic scale fantastic piece filmmaking rarely seen modern day cinema,positive
doc_017,avid movie fan see plenty movie many average many bad good great use word great scarcely dune better great oppenheimer great movie rush back see second time near future dune would see tomorrow story par star war legacy acting par oppenheimer sfx better two movie mentioned combined movie finished half hour still wanted emotional ride like nothing remember movie remember best movie year think best movie generation akin saw wish could give star,positive
doc_018,waited many many year movie caliber year old female grandmother retired best movie ever seen tend like si fi movie went along husband favor length movie even noticed u long enough honest wanted ended done yet know long take sequel come along know still planet see hope hope justice last time remember movie good high school miss opportunity see movie theatre crazy good,positive
doc_019,movie hour long say hour probably give solid lot went film could write review full thing liked given rating making possibly overrated hollywood film century state minus dune part full long dialogue heavy scene many character much worship timoth e chalamet character paul get chosen one came clich zendaya cool caliber actor hold movie hour rbf entire movie also build bad guy dying last two film big let uncle character baron awful film get killed second nephew glossu time spent fall die christopher walken terribly miscast emperor weak character sandworms cool first time amount screen time get never change get old awhile good film revisit fall asleep cool soundtrack great cinematography costume design film really much dune proven difficult story capture film one done right yet,neutral
doc_020,dune successfully put big screen good adaptation pass flying color character arc paul atreides fascinating complex love delved psyche motivation prevalently movie reluctant take messianic mantle know lie thing go according vision becomes morally complex character religious fantacism take hold fremen interpretation kind character paul becomes tyrant path religion paul take hold bene gesserit lie exploiting faith lead question one truly trust arm flesh frailty man leader come gone throughout history bringing different ideal one morality come play agency vital human experience man always falter lead question higher power role god implication get story like hollywood anymore happy ending dune one ponder moral complexity book movie made contemplate many thing deeply appreciate story like others already applauded effect acting script go much say best looking movie ever seen everything looked lived fight scene choreographed masterfully actor gave outstanding performance han zimmer give mesmerizing soundtrack frank herbert vision honored masterfully well done denis villeneuve,positive
doc_021,movie problem part one editing terrible scene connect start assignment story branch immediately cut another completely new set task character motivation interest idea complete nothing get resolved dialogue horrendous movie appeal fan book story disjointed casual follow read book understand anything happening movie really pretty max visuals category sound hit miss plot pacing character bad masterpiece sorry,neutral
doc_022,enjoy movie saying good dark knight huge overstatement enough good thing already said movie point negative viallians feel quite weak bland never seem pose real threat bautista character joke baron threatening new villian called good joker people also feel generic new ability paul get also feel convenient easy get character change lot instantly jessica suddenly becomes completely different character go paul see may rushed movie format pacing could better paul prophesied prophet happens surprise etc way think better avoids overdone struggling hero cliche prepared feel tense paul never really felt reason feel tense overall solid technical masterpiece look cinematography etc movie overall another good watch well worth time completely fine,positive
doc_023,bad dialogue clunky robotic much name use shoutout live script reading princess constant exposition dump spoon fed ensure digest baby food unlike first illogical fight attack mining structure lose men launch bazooka thopter use energy beam weapon instantly destroys giant structure beat emperor bene gesserits use voice paul fremen emperor get choose champion fight paul done hell fremen exact time able mount like worm exact time use worm attack harkonnens never see single dismount pointless scene wan na fremen walk back never show complete task never show accepted fremen accomplished movie play like super long episode poorly written tv series trying cram much book possible onto screen completely unlike first,negative
doc_024,dune part two absolutely brilliant better part one pretty much every way possible dune part one setup dune part two truly real deal dune part two paul trying gain trust fremen beginning movie many believed paul messiah also many believe anyway final act movie far best part includes lot action breathtaking visuals acting also incredible acting first movie already pretty great acting one even better also loved paul character development one seeing go duke son becoming knowing hero see future incredible watch overall dune part two truly amazing definitely best movie far,positive
doc_025,saw early screening film tilton square theatre new jersey completely blown away opening scene way credit never felt bored impressive hour minute film want write much prefer anyone reading slightest bit interest film go see immediately release worldwide march st grab ticket would highly recommended see imax possible almost entirety movie filmed imax camera movie absolute visual spectacle probably going win couple oscar sound editing picture etc fight scene choreographed fantastically like stated beginning see film,positive
doc_026,watched imax one greatest movie experience ever everything part one done even better part two story much interesting outfit unique really well made whenever thought starting move little slow something insane happens instantly drawn back world dune denis remade expanded much shot different world breathtaking last hour movie far best made cinema awhile action good last fight awesome well fought well atreides,positive
doc_027,dune part two simply denis villeneuve magnum opus filmography loved director work since blade runner arrival excellent job placing vision first dune villeneuve crank direction time structure set visuals sound story crafted way hard put word due everything came together miraculously acting also top notch timoth e chalamet particular unbelievably phenomenal zendaya great job well austin butler rebecca ferguson florence pugh also excellent denis never let experience pure weight film presented astounding narrative rich cinematography epic story mesmerizing action sequence make seat rumble watch big screen quite handful thrilling moment still idea came good end denis villeneuve truly sorcerer sci fi genre every frame detail film captivating hell different slightest dune part two made leave theater feeling inspired much take away masterpiece definitely favorite movie year bring dune part three fast possible,positive
doc_028,movie visual masterpiece studied decade color vivid lighting gorgeous cgi mostly indistinguishable reality said despite almost hour long story felt hugely condensed felt like scene give bare minimum understand happening elaborates nothing felt like want immerse unique complex world give every setting minute time hopping straight next example training paul never see learn ride sandworm succeeds feel triumphant would otherwise harkonnens also much less intimidating screentime comprised trying failing farm spice arrakis defeated paul fremen end without much difficulty put fight lastly know source ecological message important book emmited completely film fremen speak bringing green back arrakis ever see part may limitation format one must adapt book full complex lore either trilogy even serialization may better option get time explain everything know third film coming based book anymore read book believe believe film stand two foot one leg long slender bare minimum muscle required stand stand nonethelss,positive
doc_029,movie accomplished promise set absolutely mesmerizing experience loved first movie thought would impossibly difficult task surpass denis villeneuve proven promising sci fi director age find installment series pick pace quickly reach peak near end film contrary first film action packed middle dune part two display relaxed tone start middle movie however mood shift match occasion finally leaf somewhat distraught consequence character choice surely lead path return cinematography greig fraser fantastic mixture naturalistic style sci fi genre lead grounded universe still retaining wonderous whimsical aspect science fiction decision planet character portrayed demonstrates care attention paid audience interpret understand harkonnen emperor fremen bene gesserit remnant house atreides one look way shown score sublime han zimmer prof definitive motion picture composer ability craft larger life score ability understand difference character culture present film nothing short perfection recurring theme motif present throughout movie paired visuals performance also incredible form modern day masterpiece crafted meticulously master respective field rebecca ferguson timoth e chalamet javier bardem austin butler zendaya give wonderful performance first three standouts overall movie deserves universal praise received might interest even enjoy first installment series,positive
doc_030,seen first chalamet dune seen david lynch one personally think much better think cinematography beautiful dpt acting great accuracy book bored make wonder goal making movie besides money duh modern interpretation dune deep dive character dynamic story would better appreciated improved cgi beat opinion might controversial despite well made movie think remarkable lynch dune bizarre beloved retro sci fi vibe way memorable character design left impression accuracy book movie also divisive topic unless author making movie themself expect perfect duplication recommendation unless die hard dune fan definitely skip one,neutral
doc_031,quiet embrace ink page story unfolded timeless sage lens filmmaker artistry essence soared masterpiece see think denis villeneuve made visually stunning epic story movie ever made powerful story movie ever told last year movie scale resulting piece film piece art infinity war endgame look like superhero kid entertainment type movie adult version star war dune become intriguing fascinating admirable movie world always get excited right marvel universe star war universe let maestro denis villeneuve handle gon na make another one glad able say think dune part two masterpiece felt awe feeling pure fascinated movie like quite long time nothing complain story visual film felt perfect describe incredible visual film mesmerizing sound score film amazing performance prop timoth e chalamet surprise get nomination best actor oscar next year totally deserve absolutely need considered dialogue great scene one another felt important worth action scene best seen perfect stabilisation action narration scene well done hour minute pure grand epic film fill stunning visual could possibly imagine intriguing story telling kept going whole duration good epic great mastering others strength mastering true power overall could see denis villeneuve dune finally get influential recognition year specifically part two also one greatest sequel ever made dune part two easily best film year far supposed deliver,positive
doc_032,time movie released described one best sequal ever made feel bad say still good movie inferior first part read book watched first part entertaining know director like denis villeneuev also make next part expectation increase multiple time understand book making according source material still feel amazement thrill like first movie biggest reason hiring writer first movie eric roth damn good writer written movie like forrest gump curious case benjamin button etc know reason movie surely thing might different board changed color palette also first movie little bluish first part suited changed look quite different go slow story telling becomes really fast paced last minute saying bad movie expect watching first part level behaviour character also one dimensional explored properly maybe fill many thing hour time know extended version hour would work movie much add explain know would never come rest acting music cinematography good like first part like left feeling something missing let hope next part would much thrilling one believe denis villeneuev one best director time watch whatever make,neutral
doc_033,sci fi enthusiast approached latest dune movie sense anticipation hoping swept away grandeur depth however encountered left feeling underwhelmed disconnected film seemed lack spark ignites imagination opting instead plodding pace failed engage fully perhaps weariness misalignment source material struggled find moment worth revisiting credit rolled supposed best scene seemed blur together haze monotony leaving searching standout moment two cling appreciate effort filmmaker ambition behind bringing beloved story life help feel overwhelming hype surrounding adaptation somewhat unwarranted despite visual spectacle star studded cast dune left yearning deeper connection stronger emotional resonance simply present end film may find audience among die hard fan franchise particular affinity theme fell short lofty expectation set predecessor failed leave lasting impression,neutral
doc_034,would great filmmaker needed put cheap romance film many filler scene jumping throughout story year old wathcing sci fi first time would given opinion really interested story dune dont watch movie wanted read book kinda ruined imagination drug addict attitude euphoria always come mind mean act always gesture know euphoria relevant difference zendayas acting tying hair think,positive
doc_035,probably impossible create good dune movie book really complex many way said first movie captured essence dune well could kept true plot part second movie however kill character dynamic stilgar comedic relief decide leave alia one important character book movie relationship chani paul shallow even left son died ending scene underwhelming line paul book willing ignore issue never read book still great movie authentic dune experience still remains frank herbert book,positive
doc_036,watching advanced screening blown away part dune continues seamlessly part masterful soundtrack action scene acting movie flew despite almost three hour pacing incredibly well done nothing felt fast slow cgi incredibly realistic character portrayed well lead actor chemistry character felt real nothing felt fake forced truly difficult finding movie contains everything flawless screenplay writing sound acting pacing dune one best movie sure,positive
doc_037,paul prove chani fremen dream become vivid one path lead destruction maybe even loss chani think anticipated film quite much spellbound first counted day follow chance got see day early start finish captivating epic spectacle drew completely dry arid world see paul growing eye end film different boy met start timoth e chalamet outstanding showing grit depth make character utterly compelling austin butler feyd rautha revelation one menacing villain keep guessing every turn makeup work awesome honestly fault single performance casting inspired backed marvellous script visuals incredible breathtaking location inventive camera work jaw dropping special effect music spot well ripple sand paul dream wanting download instantly thought might toughest movie franchise given much happens start finish immersive exciting utterly wonderful film epic scale intimate character development one best seen long time,positive
doc_038,see christopher walken embodying character saw christopher walken christopher walken might person earth find florence pugh epitome definition bland could hired someone found walking random mall play irulan also movie feel like episode conclusion two part movie assume set continuation dune novel pacing climax ending feel wonky best explanation give time cinematic need otherwise film entertaining length lot good cinematography music etc,positive
doc_039,watched pre premiere part two dune good adaption book totally expected end movie strayed away book made bit sad honest especially part important book storyline fact sister paul born yet film came conclusion book little sister kill baron film paul take honor also fact chani supporting paul taking hand emperor daughter child yet actually go way make hard get good start inevitable third movie come movie great experience though action great storytelling well personally wished sticked book till end part one definitely follow book part two also till midst film still strongly recommend watch must see movie rank one alltime favorite already,positive
doc_040,want love movie despite confused state throughout film enjoyed seeing visually lack dialogue work although aspect would lessen learned character world get much chance within movie despite uninvolvement dune world character still honest fault script editing overarching plot scene happen rather lead scene via emotional journey first hour back forth random test like many character simply appear movie deep runtime including main villain discernible trait evil sake character appear briefly much motivation everyone stripped script see abundant amount screen time someone riding worm large battle abrubtly end little setup need large segment screen time involving nuke could told nuke nuke scene feel standout filler sequence perhaps overshadow dozen moment filler could replaced plot would challenge praisers film explain everything perfect austin butler character great one dimensional battle best mean snippet battle got one hard tell score amazing oh unbelievably overused bong noise randomly appear tepid scene even twist ending foreshadowed first minute film spectacle emotional payoff number one praise people use describe greatness dune cinematography leg great movie stand foundation although direction technicality look dune epic writing editing faulty maybe upon rewatches would like since might understand detail getting detail source still nowhere good could everyone seems think,neutral
doc_041,movie good went back theater next day watch never done never watched movie twice theater get enough film feel like need go watch rd time visuals sound stunning cast good ask better performance whole dune universe magical intriguing captivating thrilling fan science fiction good lore deep detailed story behind movie love letter absolutely amazing film time number movie ever seen year old age planet,positive
doc_042,saw dune xd screen sound system visually dune jaw dropping sound intense time loud droning interested seeing movie worth seeing big screen though fully engaged hour minute run time would call dune masterpiece character acted emotionally flat also felt romance paul chani convincing story reaching climax care character also think movie spent little time setup fremen get oppressed harkonnen sacrifice lost freedom shown viewer understand emotional motivation full assault harkonnen austin butler intense movie illustrates acting range hope recognized performance little nit picky criticism address fremen eat term world building sort detail necessary make world believable convinced human could survive arrakis way could grow crop raise animal eat synthetic food planet also sustain gigantic worm huge beast would consume million calorie day available showing detail sustainable life dry planet would help believability voice control thing done bene gesserit sort dumb know book part book hold time,positive
doc_043,film pretty consistent sense look amazing sound score top tier han zimmer action sequence good actually happen often actor good actor straight boring film core understand people write review calling masterpiece peak film making believe could actually entertained straight dead story dead dialogue seemed whole movie piece dialogue actually remember somewhat entertaining timothy chalamet said josh brolin recognise footstep missing anything sure nothing wait end seems people lying want seem smart acclaimed novel made movie past timothy chalamet groupie big fan actor work want well refuse believe anyone found plot movie good thus making entertaining like made lack story amazing story telling action like mad max fury road anyone think reason people would really rate movie even close,negative
